Src,Eqid,Version,Lat,Lon,Magnitude,Depth,NST,Region
nc,71920701,1,38.7865,-122.763,1.5,1.1,27,Northern California
nc,71920696,0,40.3742,-122.112,1.5,10.6,9,Northern California
nc,71920686,1,38.8083,-122.8227,1.2,2.3,24,Northern California
ci,15272537,0,33.3733,-117.1703,1.3,14.4,17,Southern California
ak,10637537,1,60.6897,-141.662,1.9,32.4,12,Southern Alaska
ak,10637523,2,61.6978,-147.0048,3,20.1,63,Southern Alaska
ci,15272529,0,33.5647,-117.4513,1.9,0,13,Southern California
nc,71920666,1,38.8215,-122.7937,1.4,3.1,34,Northern California
ak,10637498,1,60.9345,-152.0231,2.1,77.8,12,Southern Alaska
us,b000emzu,6,-2.9911,129.8079,5.3,7.3,185,"Seram, Indonesia"
ci,15272505,0,33.4792,-116.5317,1.5,15.6,84,Southern California
ak,10637473,1,61.3581,-146.5506,1.6,26.3,5,Southern Alaska
nc,71920611,0,38.7593,-122.8752,1,4.2,12,Northern California
ci,15272489,0,34.3395,-116.8795,1.5,2.1,47,Southern California
uw,60491097,2,47.6203,-120.2687,2.2,1.3,11,Washington
nn,399504,9,40.3547,-119.8444,1.2,9.7,13,Nevada
ak,10637451,2,63.059,-151.509,1.2,7.8,12,Central Alaska
ak,10637449,1,61.1542,-146.9559,1.6,14.4,6,Southern Alaska
ak,10637445,1,62.0575,-145.1307,1.5,20.4,5,Central Alaska
ak,10637443,1,63.9257,-150.3212,1.7,0,13,Central Alaska
pr,13012030,0,19.694,-64.2605,3.4,42,11,Virgin Islands region
us,b000emxv,6,-53.1139,-46.971,5.1,14.5,57,South Atlantic Ocean
pr,13012031,0,19.1713,-64.2201,3.5,100,6,Virgin Islands region
pr,13012023,0,19.6054,-64.277,3.3,73,13,Virgin Islands region
ak,10637436,1,62.2383,-145.823,1.7,3.9,8,Central Alaska
pr,13012029,0,19.1165,-64.0651,3.1,107,3,Virgin Islands region
us,b000emxh,7,47.4002,153.4391,5.3,35,390,Kuril Islands
ak,10637419,1,63.2477,-149.9867,1.8,104.8,16,Central Alaska
ak,10637414,1,65.3816,-144.2587,1.8,0,9,northern Alaska
ak,10637412,1,60.1743,-149.6982,1.8,0.4,4,"Kenai Peninsula, Alaska"
us,b000emx7,6,23.9843,122.3449,4.8,28,52,Taiwan region
pr,13012026,0,19.1965,-64.233,2.7,97,3,Virgin Islands region
ci,15272473,0,33.3055,-116.3712,1.2,8,42,Southern California
ak,10637405,1,63.4365,-150.2296,1.5,2.2,9,Central Alaska
pr,13012025,0,19.4382,-64.2185,3.2,96,6,Virgin Islands region
us,b000emx0,4,37.2599,144.7667,4.6,35,37,"off the east coast of Honshu, Japan"
ak,10637401,2,61.5165,-150.0174,1.3,38.8,20,Southern Alaska
pr,13012017,0,19.5415,-64.3,3.4,79,13,Virgin Islands region
pr,13012020,0,19.5941,-64.5438,2.9,62,4,Virgin Islands region
